S/N,Name,Category,Outsourced (B),Walk in Patient (C),Hospital Patient (D)
1,ADRENALINE 1:1000/ML INJ,Anaesthetics/Anxiolytics/Emergency Drugs,N/A,₦100.00,N/A
2,ATRACURIUM 25MG INJ (2.3ML),Anaesthetics/Anxiolytics/Emergency Drugs,N/A,N/A,N/A
3,ATRACURIUM 50MG INJ (5ML),Anaesthetics/Anxiolytics/Emergency Drugs,N/A,N/A,N/A
4,BUVPIVACAINE 0.5%(HEAVY MERCAINE) INJ,Anaesthetics/Anxiolytics/Emergency Drugs,N/A,N/A,N/A
5,BUVPIVACAINE 0.5%(LIGHT  MERCAINE) INJ,Anaesthetics/Anxiolytics/Emergency Drugs,N/A,N/A,N/A
6,DEXAMETHASONE 4MG/ML INJ,Anaesthetics/Anxiolytics/Emergency Drugs,N/A,N/A,N/A
7,DIAZEPAM INJ 10MG/2ML(VALIUM),Anaesthetics/Anxiolytics/Emergency Drugs,N/A,N/A,N/A
8,DOPAMINE 200MG/5ML INJ,Anaesthetics/Anxiolytics/Emergency Drugs,N/A,N/A,N/A
9,EPHEDRINE 3MG/ML INJ,Anaesthetics/Anxiolytics/Emergency Drugs,N/A,N/A,N/A
10,HALOTHANE INJ 250ML SOLUTION,Anaesthetics/Anxiolytics/Emergency Drugs,N/A,N/A,N/A
11,INJ LIDOCAINE (PLAIN),Anaesthetics/Anxiolytics/Emergency Drugs,N/A,"₦1,000.00",N/A
12,INJ LIDOCAINE + ADRENALINE,Anaesthetics/Anxiolytics/Emergency Drugs,N/A,"₦1,100.00",N/A
13,ISOFLUORANE INJ 25ML SOLTION,Anaesthetics/Anxiolytics/Emergency Drugs,N/A,N/A,N/A
14,ISOPRENALINE SULPHATE INJ,Anaesthetics/Anxiolytics/Emergency Drugs,N/A,N/A,N/A
15,KETAMINE INJ 50MG,Anaesthetics/Anxiolytics/Emergency Drugs,N/A,N/A,N/A
16,LIDOCAINE(XYLOCAINE) GEL,Anaesthetics/Anxiolytics/Emergency Drugs,N/A,N/A,N/A
17,LIDOCAINE(XYLOCAINE) SPRAY,Anaesthetics/Anxiolytics/Emergency Drugs,N/A,N/A,N/A
18,LIGNOCAINE+ADRENALINE INJ,Anaesthetics/Anxiolytics/Emergency Drugs,N/A,N/A,N/A
19,LIGNOCAINE1% 20ML INJ,Anaesthetics/Anxiolytics/Emergency Drugs,N/A,N/A,N/A
20,LIGNOCAINE2% 20ML INJ,Anaesthetics/Anxiolytics/Emergency Drugs,N/A,N/A,N/A
21,MAGNESM SULPHATE INJ  5% 10ML,Anaesthetics/Anxiolytics/Emergency Drugs,N/A,N/A,N/A
22,NEOSTIGMINE 2.5MG/ML INJ,Anaesthetics/Anxiolytics/Emergency Drugs,N/A,N/A,N/A
23,OXYGEN,Anaesthetics/Anxiolytics/Emergency Drugs,N/A,N/A,N/A
24,PANCURONIUM 4MG/2ML (PAVULON) INJ,Anaesthetics/Anxiolytics/Emergency Drugs,N/A,N/A,N/A
25,POTASSIUM CHLORIDE INJ 15 % 10 ML,Anaesthetics/Anxiolytics/Emergency Drugs,N/A,N/A,N/A
26,PROPOFOL (DIPRIVAN) INJ 10ML,Anaesthetics/Anxiolytics/Emergency Drugs,N/A,N/A,N/A
27,SODIUM BIACARBONATE INJ 8.4%,Anaesthetics/Anxiolytics/Emergency Drugs,N/A,N/A,N/A
28,SUXAMETHONIUM INJ 100MG,Anaesthetics/Anxiolytics/Emergency Drugs,N/A,N/A,N/A
29,THIOPENTONE INJ 0.5G SODIUM,Anaesthetics/Anxiolytics/Emergency Drugs,N/A,N/A,N/A
30,THIOPENTONE INJ IG SODIUM,Anaesthetics/Anxiolytics/Emergency Drugs,N/A,N/A,N/A
31,IM/IV HYDROCORTISONE 100MG,Anaesthetics/Anxiolytics/Emergency Drugs,N/A,₦200.00,N/A
32,DIAORALYTE RELIEF BLACKCURRANT,Anaesthetics/Anxiolytics/Emergency Drugs,₦600.00,₦600.00,₦600.00
33,IBUPROFEN 200MG CAPS X12 (NUROFEN),Anaesthetics/Anxiolytics/Emergency Drugs,₦950.00,₦950.00,₦950.00
34,IM DIAZEPAM(VALIUM) 10MG/2ML,Anaesthetics/Anxiolytics/Emergency Drugs,"₦1,500.00","₦1,500.00","₦1,500.00"
35,HARVONI,Anaesthetics/Anxiolytics/Emergency Drugs,"₦150,000.00","₦150,000.00","₦150,000.00"
36,EPCLUSA,Anaesthetics/Anxiolytics/Emergency Drugs,"₦170,000.00","₦170,000.00","₦170,000.00"
37,PARACLIM PARACETAMOL INJECTION C.P,Anaesthetics/Anxiolytics/Emergency Drugs,"₦5,000.00","₦5,000.00","₦5,000.00"
38,JAWA LIDOCAINE INJECTION 2% 30ML,Anaesthetics/Anxiolytics/Emergency Drugs,"₦2,000.00","₦2,000.00","₦2,000.00"
39,GLANIL,Anaesthetics/Anxiolytics/Emergency Drugs,₦500.00,₦500.00,₦500.00
40,RIBAVIRIN CAP (RIBAMAC-200)X 84 CAP,Anaesthetics/Anxiolytics/Emergency Drugs,"₦13,000.00","₦13,000.00","₦13,000.00"
41,TAMSULON-XL 400MCG,Anaesthetics/Anxiolytics/Emergency Drugs,"₦2,200.00","₦2,200.00","₦2,200.00"
