sn_in_category,test_name,test_category,category_section,price_outsourced,price_walkin,price_hospital,test_key
1,SODIUM,RENAL ELECTROLYTE / BONE (CHEMISTRY),CHEMISTRY,"₦ 4,000","₦ 4,000","₦1,000",renal_electrolyte_bone_chemistry__sodium
2,POTASSIUM,RENAL ELECTROLYTE / BONE (CHEMISTRY),CHEMISTRY,"₦ 4,000","₦ 4,000","₦1,000",renal_electrolyte_bone_chemistry__potassium
3,UREA,RENAL ELECTROLYTE / BONE (CHEMISTRY),CHEMISTRY,"₦ 4,000","₦ 4,000","₦1,000",renal_electrolyte_bone_chemistry__urea
4,PHOSPHATE(Serum),RENAL ELECTROLYTE / BONE (CHEMISTRY),CHEMISTRY,"₦ 4,500","₦ 4,500","₦1,500",renal_electrolyte_bone_chemistry__phosphate_serum
5,CREATININE,RENAL ELECTROLYTE / BONE (CHEMISTRY),CHEMISTRY,"₦ 4,000","₦ 4,000","₦1,000",renal_electrolyte_bone_chemistry__creatinine
6,CREATININE CLEARANCE(24 hour Urine),RENAL ELECTROLYTE / BONE (CHEMISTRY),CHEMISTRY,"₦ 10,500","₦ 10,500","₦5,000",renal_electrolyte_bone_chemistry__creatinine_clearance_24_hour_urine
7,"ELECTROLYTES,UREA& CREATININE",RENAL ELECTROLYTE / BONE (CHEMISTRY),CHEMISTRY,"₦ 11,500","₦ 11,500","₦6,000",renal_electrolyte_bone_chemistry__electrolytes_urea_creatinine
8,ELECTROLYTES,RENAL ELECTROLYTE / BONE (CHEMISTRY),CHEMISTRY,"₦ 7,000","₦ 7,000","₦4,000",renal_electrolyte_bone_chemistry__electrolytes
9,MAGNESIUM,RENAL ELECTROLYTE / BONE (CHEMISTRY),CHEMISTRY,"₦ 10,000","₦ 10,000","₦4,000",renal_electrolyte_bone_chemistry__magnesium
10,CALCIUM (Corrected),RENAL ELECTROLYTE / BONE (CHEMISTRY),CHEMISTRY,"₦ 7,000","₦ 7,000","₦2,000",renal_electrolyte_bone_chemistry__calcium_corrected
11,CALCULUS ANALYSIS,RENAL ELECTROLYTE / BONE (CHEMISTRY),CHEMISTRY,"₦ 60,000","₦ 60,000","₦4,000",renal_electrolyte_bone_chemistry__calculus_analysis
12,"1,25 DIHYDROXY VIT D3",RENAL ELECTROLYTE / BONE (CHEMISTRY),CHEMISTRY,"₦ 70,000","₦ 70,000","₦60,000",renal_electrolyte_bone_chemistry__1_25_dihydroxy_vit_d3
13,URIC ACID(SERUM),RENAL ELECTROLYTE / BONE (CHEMISTRY),CHEMISTRY,"₦ 4,000","₦ 4,000","₦2,000",renal_electrolyte_bone_chemistry__uric_acid_serum
14,CREATININE (24 Hour Urine),RENAL ELECTROLYTE / BONE (CHEMISTRY),CHEMISTRY,"₦ 10,500","₦ 10,500","₦4,000",renal_electrolyte_bone_chemistry__creatinine_24_hour_urine
15,25-HYDROXYL VITAMIN D3,RENAL ELECTROLYTE / BONE (CHEMISTRY),CHEMISTRY,"₦ 25,000","₦ 25,000","₦25,000",renal_electrolyte_bone_chemistry__25_hydroxyl_vitamin_d3
16,Erythropoetin EPO,RENAL ELECTROLYTE / BONE (CHEMISTRY),CHEMISTRY,"₦ 36,000","₦ 36,000","₦30,000",renal_electrolyte_bone_chemistry__erythropoetin_epo
17,24 HOUR URINE CALCIUM/PHOSPHATE,RENAL ELECTROLYTE / BONE (CHEMISTRY),CHEMISTRY,"₦ 10,000","₦ 10,000","₦6,000",renal_electrolyte_bone_chemistry__24_hour_urine_calcium_phosphate
18,24 HOUR URINE PROTEIN,RENAL ELECTROLYTE / BONE (CHEMISTRY),CHEMISTRY,"₦ 10,000","₦ 10,000","₦5,000",renal_electrolyte_bone_chemistry__24_hour_urine_protein
19,T24 HOUR URINE URIC ACID,RENAL ELECTROLYTE / BONE (CHEMISTRY),CHEMISTRY,"₦ 10,000","₦ 10,000","₦5,000",renal_electrolyte_bone_chemistry__t24_hour_urine_uric_acid
20,ESTIMATED GFR,RENAL ELECTROLYTE / BONE (CHEMISTRY),CHEMISTRY,"₦ 3,000","₦ 3,000","₦2,000",renal_electrolyte_bone_chemistry__estimated_gfr
21,LITHIUMM,RENAL ELECTROLYTE / BONE (CHEMISTRY),CHEMISTRY,N/A,N/A,N/A,renal_electrolyte_bone_chemistry__lithiumm
22,CHLORIDE,RENAL ELECTROLYTE / BONE (CHEMISTRY),CHEMISTRY,"₦ 4,500","₦ 4,500","₦1,000",renal_electrolyte_bone_chemistry__chloride
23,CYSTATIN C,RENAL ELECTROLYTE / BONE (CHEMISTRY),CHEMISTRY,N/A,N/A,N/A,renal_electrolyte_bone_chemistry__cystatin_c
24,B - TRACE PROTEIN,RENAL ELECTROLYTE / BONE (CHEMISTRY),CHEMISTRY,N/A,N/A,N/A,renal_electrolyte_bone_chemistry__b_trace_protein
25,INULIN,RENAL ELECTROLYTE / BONE (CHEMISTRY),CHEMISTRY,"₦ 29,000","₦ 29,000",N/A,renal_electrolyte_bone_chemistry__inulin
26,IOHEXOL,RENAL ELECTROLYTE / BONE (CHEMISTRY),CHEMISTRY,N/A,N/A,N/A,renal_electrolyte_bone_chemistry__iohexol
27,HBAIC,RENAL ELECTROLYTE / BONE (CHEMISTRY),CHEMISTRY,"₦ 12,000","₦ 12,000",N/A,renal_electrolyte_bone_chemistry__hbaic
28,BETA 2 MICROGLOBULIN,RENAL ELECTROLYTE / BONE (CHEMISTRY),CHEMISTRY,"₦ 35,000","₦ 35,000","₦25,000",renal_electrolyte_bone_chemistry__beta_2_microglobulin
29,LACTATE DEHYDROGENASE(LDH),RENAL ELECTROLYTE / BONE (CHEMISTRY),CHEMISTRY,"₦ 15,500","₦ 15,500","₦8,000",renal_electrolyte_bone_chemistry__lactate_dehydrogenase_ldh
30,SERUM OSMOLALITY,RENAL ELECTROLYTE / BONE (CHEMISTRY),CHEMISTRY,N/A,N/A,N/A,renal_electrolyte_bone_chemistry__serum_osmolality
31,BLOOD GASES,RENAL ELECTROLYTE / BONE (CHEMISTRY),CHEMISTRY,N/A,N/A,N/A,renal_electrolyte_bone_chemistry__blood_gases
32,COMPLEMENT COMPONENT 3,RENAL ELECTROLYTE / BONE (CHEMISTRY),CHEMISTRY,"₦ 14,000","₦ 14,000","₦8,500",renal_electrolyte_bone_chemistry__complement_component_3
33,MERCURY(URINE),RENAL ELECTROLYTE / BONE (CHEMISTRY),CHEMISTRY,N/A,N/A,"₦63,200",renal_electrolyte_bone_chemistry__mercury_urine
34,URINE URIC ACID,RENAL ELECTROLYTE / BONE (CHEMISTRY),CHEMISTRY,"₦ 5,200","₦ 5,200",N/A,renal_electrolyte_bone_chemistry__urine_uric_acid
35,24HR PROTEIN CREATININE RATIO (PCR),RENAL ELECTROLYTE / BONE (CHEMISTRY),CHEMISTRY,"₦ 25,000","₦ 25,000","₦25,000",renal_electrolyte_bone_chemistry__24hr_protein_creatinine_ratio_pcr
